Date,Checking,Savings,Combined Amount
2021-04-12,,,8000
2021-05-03,,,9605
2021-08-31,5679.75,5577.82,11257.57
2021-10-04,5680,6484,12164
2021-11-01,5484.03,5693.82,11177.85
2022-09-19,,,13000
2022-10-17,,,11904.35
2023-05-23,5746.95,4662.35,10297.3
2023-12-04,6442.99,3780.96,10223.95
2024-09-09,1957.95,862.13,2820.08
2024-10-14, 1536.16,437.36,1973.52
2024-11-04, 1260.67, 437.16, 1697.83
2024-12-02, 920.16, 437.16, 1357.32
2025-01-13, 1100.00, 350.00, 1450.00
2025-02-03, 900.00, 365.00, 1265.00
2025-03-10, 950.00, 365.00, 1315.00
2025-04-07, 1900.90, 365.00, 2265.90
